Address:,USB0::0x0957::0x179B::MY59127615::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0204687500725,0.215437187347561,-0.0449334252625704,
,,,-0.02041666674,0.229256281396374,0.126297754002735,
,,,-0.0203645834075,0.243075375445187,0.0294635698664933,
,,,-0.020312500075,0.255010047578253,0.253835459938273,
,,,-0.0202604167425,0.268829141627066,0.0578052822966129,
,,,-0.02020833341,0.281391954398714,0.119212325895205,
,,,-0.0201562500775,0.293954767170362,0.047177140135318,
,,,-0.020104166745,0.307145720580593,0.2207701287698,
,,,-0.0200520834125,0.319708533352241,-0.0827223751693964,
,,,-0.02000000008,0.332271346123889,-0.0413907112088054,
,,,-0.0199479167475,0.34546229953412,-0.0567424721084535,
,,,-0.019895833415,0.357396971667185,0.012930904282257,
,,,-0.0198437500825,0.369331643800251,0.193609321024269,
,,,-0.01979166675,0.381266315933317,0.178257560124621,
,,,-0.0197395834175,0.391316566150635,-0.0201344268862158,
,,,-0.019687500085,0.401994957006536,0.162905799224973,
,,,-0.0196354167525,0.410160785308108,0.0707952338270843,
,,,-0.01958333342,0.419582894886844,0.312880694167688,
,,,-0.0195312500875,0.430889426381327,0.54315710766241,
,,,-0.019479166755,0.441567817237228,1.24815720436163,
,,,-0.0194270834225,0.450989926815964,1.38396124308929,
,,,-0.01937500009,0.46292459894903,0.766348093049601,
,,,-0.0193229167575,0.473602989804931,0.34712693002075,
,,,-0.019270833425,0.48365324002225,0.146373133640736,
,,,-0.0192187500925,0.49433163087815,0.201875653816387,
,,,-0.01916666676,0.504381881095469,-0.0413907112088054,
,,,-0.0191145834275,0.515688412589952,0.0105690949130803,
,,,-0.019062500095,0.526366803445853,-0.132320371922106,
,,,-0.0190104167625,0.537045194301754,-0.0343052831012756,
,,,-0.01895833343,0.547723585157655,-0.00832538004033268,
,,,-0.0189062500975,0.557773835374974,-0.00714447535574436,
,,,-0.018854166765,0.569708507508039,-0.118149515707046,
,,,-0.0188020834325,0.579758757725358,-0.00596357067115605,
,,,-0.0187500001,0.590437148581259,-0.126415848499164,
,,,-0.0186979167675,0.60111553943716,-0.253953554434702,
,,,-0.018645833435,0.610537649015896,-0.172471131198108,
,,,-0.0185937501025,0.621216039871797,-0.0992550407536328,
,,,-0.01854166677,0.631894430727698,-0.170109321828932,
,,,-0.0184895834375,0.642572821583599,-0.204355557681993,
,,,-0.018437500105,0.6532512124395,-0.0898078032769263,
,,,-0.0183854167725,0.662045181379654,-0.294104313710704,
,,,-0.01833333344,0.672095431596972,-0.206717367051169,
,,,-0.0182812501075,0.682145681814291,-0.118149515707046,
,,,-0.018229166775,0.693452213308774,-0.220888223266229,
,,,-0.0181770834425,0.700989900971763,-0.0638279002159834,
,,,-0.01812500011,0.710412010550499,-0.125234943814576,
,,,-0.0180729167775,0.720462260767818,0.0837851853575557,
,,,-0.018020833445,0.730512510985136,0.0330062839202583,
,,,-0.0179687501125,0.73930647992529,-0.111064087599516,
,,,-0.01791666678,0.748100448865443,-0.0484761393163353,
,,,-0.0178645834475,0.758150699082762,0.100317850941792,
,,,-0.017812500115,0.767572808661498,0.0530816635582596,
,,,-0.0177604167825,0.776994918240234,0.0991369462572038,
,,,-0.01770833345,0.785788887180388,-0.00360176130197942,
,,,-0.0176562501175,0.795210996759124,-0.0461143299471587,
,,,-0.017604166785,0.80463310633786,-0.00832538004033268,
,,,-0.0175520834525,0.814055215916596,-0.0531997580546886,
,,,-0.01750000012,0.82284918485675,-0.00832538004033268,
,,,-0.0174479167875,0.832271294435486,-0.0177726175170392,
,,,-0.017395833455,0.842321544652805,-0.253953554434702,
,,,-0.0173437501225,0.850487372954376,-0.138224895345047,
,,,-0.01729166679,0.85928134189453,-0.0626469955313951,
,,,-0.0172395834575,0.868075310834683,-0.0390289018396288,
,,,-0.017187500125,0.878753701690584,-0.0543806627392769,
,,,-0.0171354167925,0.887547670630738,0.0389108073431998,
,,,-0.01708333346,0.895713498932309,0.103860564995557,
,,,-0.0170312501275,0.904507467872463,0.0873278994113207,
,,,-0.016979166795,0.912673296174034,-0.105159564176574,
,,,-0.0169270834625,0.923351687029935,-0.0626469955313951,
,,,-0.01687500013,0.930889374692924,0.126297754002735,
,,,-0.0168229167975,0.938427062355913,0.146373133640736,
,,,-0.016770833465,0.946592890657485,0.107403279049322,
,,,-0.0167187501325,0.954758718959056,0.107403279049322,
,,,-0.0166666668,0.964180828537792,0.187704797601327,
,,,-0.0166145834675,0.971718516200781,0.120393230579793,
,,,-0.016562500135,0.978628063225187,0.158182180486619,
,,,-0.0165104168025,0.986165750888176,0.103860564995557,
,,,-0.01645833347,0.993075297912583,0.0495389495044947,
,,,-0.0164062501375,0.999984844936989,0.03182537923567,
,,,-0.016354166805,1.00752253259998,-0.0756369470618665,
,,,-0.0163020834725,1.0138039389858,0.0873278994113207,
,,,-0.01625000014,1.02071348601021,-5.90472482144833E-05,
,,,-0.0161979168075,1.02636675175745,0.0991369462572038,
,,,-0.016145833475,1.03327629878186,0.0105690949130803,
,,,-0.0160937501425,1.0389295645291,0.050719854189083,
,,,-0.01604166681,1.04395468963776,0.11566961184144,
,,,-0.0159895834775,1.04835167410783,-0.00950628472492099,
,,,-0.015937500145,1.05212051793933,0.0648907104041427,
,,,-0.0158854168125,1.05777378368657,0.0932324228342623,
,,,-0.01583333348,1.06217076815665,0.0377299026586115,
,,,-0.0157812501475,1.06531147134956,0.03182537923567,
,,,-0.015729166815,1.06845217454247,-0.119330420391634,
,,,-0.0156770834825,1.07222101837397,0.0766997572500259,
,,,-0.01562500015,1.07598986220546,0.0684334244579077,
,,,-0.0155729168175,1.07913056539837,0.0459962354507297,
,,,-0.015520833485,1.0816431279527,-0.0402098065242171,
,,,-0.0154687501525,1.08289940922987,0.00820728554390371,
,,,-0.01541666682,1.0854119717842,-0.047295234631747,
,,,-0.0153645834875,1.08666825306136,0.114488707156852,
,,,-0.015312500155,1.08918081561569,-0.00832538004033268,
,,,-0.0152604168225,1.09106523753144,-0.0177726175170392,
,,,-0.01520833349,1.0923215188086,-0.0248580456245691,
,,,-0.0151562501575,1.09420594072435,-0.088626898592338,
,,,-0.015104166825,1.09483408136293,-0.0295816643629223,
,,,-0.0150520834925,1.09483408136293,-0.0709133283235133,
,,,-0.01500000016,1.09546222200152,0.0542625682428479,
,,,-0.0149479168275,1.09546222200152,0.0648907104041427,
,,,-0.014895833495,1.09546222200152,-0.0378479971550405,
,,,-0.0148437501625,1.0960903626401,-0.0236771409399807,
,,,-0.01479166683,1.0960903626401,-0.205536462366581,
,,,-0.0147395834975,1.0960903626401,-0.144129418767989,
,,,-0.014687500165,1.09420594072435,-0.085084184538573,
,,,-0.0146354168325,1.09294965944719,-0.0945314220152795,
,,,-0.0145833335,1.09169337817002,-0.0555615674238652,
,,,-0.0145312501675,1.09106523753144,0.00584547617472708,
,,,-0.014479166835,1.08918081561569,0.125116849318147,
,,,-0.0144270835025,1.08729639369994,0.028282665181905,
,,,-0.01437500017,1.08415569050703,-0.0768178517464548,
,,,-0.0143229168375,1.0816431279527,0.132202277425677,
,,,-0.014270833505,1.07913056539837,0.121574135264382,
,,,-0.0142187501725,1.07661800284404,0.0672525197733194,
,,,-0.01416666684,1.07536172156688,-0.0366670924704522,
,,,-0.0141145835075,1.07159287773538,-0.0756369470618665,
,,,-0.014062500175,1.06908031518105,0.0837851853575557,
,,,-0.0140104168425,1.06656775262672,-0.0106871894095093,
,,,-0.01395833351,1.06405519007239,0.0341871886048466,
,,,-0.0139062501775,1.06154262751807,-0.0709133283235133,
,,,-0.013854166845,1.05903006496374,-0.129958562552929,
,,,-0.0138020835125,1.05651750240941,-0.161842989036813,
,,,-0.01375000018,1.05337679921649,-0.0732751376926899,
,,,-0.0136979168475,1.05023609602358,-0.0213153315708041,
,,,-0.013645833515,1.04709539283067,0.221951033454388,
,,,-0.0135937501825,1.04332654899918,0.148734943009913,
,,,-0.01354166685,1.04018584580626,0.0979560415726155,
,,,-0.0134895835175,1.03767328325193,0.0306444745510817,
,,,-0.013437500185,1.0351607206976,-0.0531997580546886,
,,,-0.0133854168525,1.03139187686611,-0.243325412273407,
,,,-0.01333333352,1.0282511736732,-0.121692229760811,
,,,-0.0132812501875,1.02573861111887,0.0235590464435518,
,,,-0.013229166855,1.02259790792596,0.0070263808593154,
,,,-0.0131770835225,1.02008534537163,-0.0484761393163353,
,,,-0.01312500019,1.01631650154013,0.0306444745510817,
,,,-0.0130729168575,1.01443207962438,0.00584547617472708,
,,,-0.013020833525,1.01129137643147,-0.0449334252625704,
,,,-0.0129687501925,1.00752253259998,0.047177140135318,
,,,-0.01291666686,1.00375368876848,0.103860564995557,
,,,-0.0128645835275,0.999984844936989,-0.0248580456245691,
,,,-0.012812500195,0.99747228238266,-0.0650088049005717,
,,,-0.0127604168625,0.993075297912583,-0.0402098065242171,
,,,-0.01270833353,0.989306454081088,-0.0236771409399807,
,,,-0.0126562501975,0.984909469611011,0.0495389495044947,
,,,-0.012604166865,0.981140625779517,-0.113425896968693,
,,,-0.0125520835325,0.977371781948023,0.0200163323897868,
,,,-0.0125000002,0.972974797477946,0.0944133275188506,
,,,-0.0124479168675,0.967321531730704,-0.0496570440009236,
,,,-0.012395833535,0.962296406622045,-0.155938465613872,
,,,-0.0123437502025,0.956643140874803,-0.100435945438221,
,,,-0.01229166687,0.949733593850397,0.0519007588736713,
,,,-0.0122395835375,0.944080328103155,0.148734943009913,
,,,-0.012187500205,0.936542640440166,0.180619369493797,
,,,-0.0121354168725,0.92963309341576,0.0731570431962609,
,,,-0.01208333354,0.920210983837023,0.0637098057195544,
,,,-0.0120312502075,0.91141701489687,0.0211972370743752,
,,,-0.011979166875,0.902623045956716,0.0235590464435518,
,,,-0.0119270835425,0.893829077016562,0.00112185743637383,
,,,-0.01187500021,0.884406967437826,0.0589861869812012,
,,,-0.0118229168775,0.876241139136255,0.125116849318147,
,,,-0.011770833545,0.865562748280354,0.0554434729274362,
,,,-0.0117187502125,0.855512498063035,0.0684334244579077,
,,,-0.01166666688,0.846718529122882,0.134564086794853,
,,,-0.0116145835475,0.837296419544145,0.00938819022849202,
,,,-0.011562500215,0.826618028688245,-0.028400759678334,
,,,-0.0115104168825,0.815939637832344,0.0743379478808492,
,,,-0.01145833355,0.80463310633786,0.244388222461566,
,,,-0.0114062502175,0.793326574843377,0.102679660310969,
,,,-0.011354166885,0.782648183987476,0.178257560124621,
,,,-0.0113020835525,0.77071351185441,0.210141986608505,
,,,-0.01125000022,0.759406980359927,0.374287737766281,
,,,-0.0111979168875,0.747472308226861,0.289262600475922,
,,,-0.011145833555,0.735537636093795,0.0849660900421441,
,,,-0.0110937502225,0.722974823322147,0.2207701287698,
,,,-0.01104166689,0.711040151189081,0.135744991479442,
,,,-0.0109895835575,0.698477338417433,0.280996267683804,
,,,-0.010937500225,0.685914525645785,0.305795266060159,
,,,-0.0108854168925,0.673351712874137,0.0908706134650856,
,,,-0.01083333356,0.660160759463906,0.175895750755444,
,,,-0.0107812502275,0.647597946692258,0.00112185743637383,
,,,-0.010729166895,0.634406993282028,0.0648907104041427,
,,,-0.0106770835625,0.622472321148962,0.0755188525654376,
,,,-0.01062500023,0.609281367738731,0.0707952338270843,
,,,-0.0105729168975,0.596090414328501,-0.0614660908468068,
,,,-0.010520833565,0.58289946091827,0.012930904282257,
,,,-0.0104687502325,0.570964788785204,0.187704797601327,
,,,-0.0104166669,0.559030116652139,0.182981178862974,
,,,-0.0103645835675,0.545839163241908,0.162905799224973,
,,,-0.010312500235,0.534532631747425,0.271549030207098,
,,,-0.0102604169025,0.522597959614359,0.164086703909561,
,,,-0.01020833357,0.510035146842711,0.114488707156852,
,,,-0.0101562502375,0.498100474709645,0.0436344260815531,
,,,-0.010104166905,0.487422083853744,-0.0354861877858639,
,,,-0.0100520835725,0.476115552359261,0.121574135264382,
,,,-0.01000000024,0.464180880226195,0.159363085171208,
,,,-0.0099479169075,0.452874348731712,0.537252584239468,
,,,-0.009895833575,0.442195957875811,1.17966473265551,
,,,-0.0098437502425,0.43151756701991,1.33908686507493,
,,,-0.00979166691,0.420211035525426,0.669513908913359,
,,,-0.0097395835775,0.409532644669525,0.334136978490278,
,,,-0.009687500245,0.398226113175042,0.116850516526029,
,,,-0.0096354169125,0.388175862957723,0.134564086794853,
,,,-0.00958333358,0.37686933146324,0.0400917120277882,
,,,-0.0095312502475,0.366819081245922,0.0625289010349661,
,,,-0.009479166915,0.354884409112856,0.0837851853575557,
,,,-0.0094270835825,0.344206018256955,0.0731570431962609,
,,,-0.00937500025,0.333527627401054,0.0554434729274362,
,,,-0.0093229169175,0.323477377183735,-0.0248580456245691,
,,,-0.009270833585,0.313427126966417,-0.0520188533701003,
,,,-0.0092187502525,0.302120595471933,-0.184280178043991,
,,,-0.00916666692,0.291442204616033,-0.250410840380937,
,,,-0.0091145835875,0.280763813760132,-0.0543806627392769,
,,,-0.009062500255,0.270085422904231,-0.101616850122809,
,,,-0.0090104169225,0.258778891409747,-0.161842989036813,
,,,-0.00895833359,0.248728641192429,-0.00714447535574436,
,,,-0.0089062502575,0.236793969059363,-0.102797754807398,
,,,-0.008854166925,0.227371859480627,-0.0921696126461029,
,,,-0.0088020835925,0.215437187347561,-0.137043990660459,
,,,-0.00875000026,0.206015077768825,-0.151214846875519,
,,,-0.0086979169275,0.195964827551506,-0.047295234631747,
,,,-0.008645833595,0.185286436695606,-0.0307625690475106,
,,,-0.0085937502625,0.174608045839705,0.0353680932894349,
,,,-0.00854166693,0.164557795622386,0.0271017604973167,
,,,-0.0084895835975,0.154507545405068,0.0530816635582596,
,,,-0.008437500265,0.144457295187749,0.0365489979740232,
,,,-0.0083854169325,0.135035185609013,0.00584547617472708,
,,,-0.0083333336,0.124356794753112,-0.0307625690475106,
,,,-0.0082812502675,0.114934685174376,0.0542625682428479,
,,,-0.008229166935,0.10551257559564,0.00112185743637383,
,,,-0.0081770836025,0.0960904660169035,-0.172471131198108,
,,,-0.00812500027,0.0854120751610026,-0.0425716158933938,
,,,-0.0080729169375,0.075361824943684,-0.101616850122809,
,,,-0.008020833605,0.0653115747263655,0.012930904282257,
,,,-0.0079687502725,0.055261324509047,-0.170109321828932,
,,,-0.00791666694,0.0464673555688933,-0.0012399519328028,
,,,-0.0078645836075,0.0376733866287395,-0.0154108081478626,
,,,-0.007812500275,0.0288794176885858,-0.0378479971550405,
,,,-0.0077604169425,0.0200854487484321,0.0483580448199064,
,,,-0.00770833361,0.0100351985311136,-0.0496570440009236,
,,,-0.0076562502775,0.000613088952377439,-0.0815414704848081,
,,,-0.007604166945,-0.00818087998777628,0.0164736183360219,
,,,-0.0075520836125,-0.0182311302050948,-0.0331243784166873,
,,,-0.00750000028,-0.0282813804224133,-0.0531997580546886,
,,,-0.0074479169475,-0.0377034900011495,-0.147672132821754,
,,,-0.007395833615,-0.0464974589413032,-0.0909887079615146,
,,,-0.0073437502825,-0.0565477091586217,-0.0295816643629223,
,,,-0.00729166695,-0.0665979593759403,-0.0213153315708041,
,,,-0.0072395836175,-0.0760200689546764,-0.0921696126461029,
,,,-0.007187500285,-0.0860703191719949,-0.461792778922245,
,,,-0.0071354169525,-0.0942361474735662,-0.172471131198108,
,,,-0.00708333362,-0.104914538329467,-0.242144507588819,
,,,-0.0070312502875,-0.114336647908203,-0.37440583226271,
,,,-0.006979166955,-0.123130616848357,-0.207898271735758,
,,,-0.0069270836225,-0.131924585788511,-0.127596753183752,
,,,-0.00687500029,-0.140718554728664,-0.0626469955313951,
,,,-0.0068229169575,-0.150768804945983,-0.0130489987786859,
,,,-0.006770833625,-0.160190914524719,0.0814233759883791,
,,,-0.0067187502925,-0.16835674282629,0.0684334244579077,
,,,-0.00666666696,-0.176522571127862,-0.109883182914928,
,,,-0.0066145836275,-0.185316540068015,-0.190184701466933,
,,,-0.006562500295,-0.194110509008169,-0.295285218395293,
,,,-0.0065104169625,-0.20227633730974,-0.285837980918586,
,,,-0.00645833363,-0.211070306249894,-0.223250032635406,
,,,-0.0064062502975,-0.218607993912883,-0.227973651373759,
,,,-0.006354166965,-0.226773822214454,0.0259208558127284,
