Address:,USB0::0x0957::0x179B::MY59127615::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127615,,-0.025,-0.529326591640711,-0.06821608543396,
Firmware Version:,02.50.2019022736,,-0.0249496,-0.529326591640711,-0.108417090028524,
Start Time:,2023-04-17 16:11:40.414,,-0.0248992,-0.555859250947833,-0.128517592325807,
,,,-0.0248488,-0.529326591640711,-0.06821608543396,
Analog Sample Count:,992,,-0.0247984,-0.555859250947833,-0.0883165877312422,
Function Sample Count:,0,,-0.024748,-0.555859250947833,-0.168718596920371,
Waveform Memory Sample Count:,0,,-0.0246976,-0.529326591640711,-0.108417090028524,
Digital Sample Count:,0,,-0.0246472,-0.502793932333589,-0.148618094623089,
,,,-0.0245968,-0.529326591640711,-0.128517592325807,
Setup Text Information:,,,-0.0245464,-0.529326591640711,-0.0883165877312422,
ANALOG,,,-0.024496,-0.529326591640711,-0.0481155831366777,
Channel 1,,,-0.0244456,-0.502793932333589,-0.0481155831366777,
Scale,660 mV/,,-0.0243952,-0.529326591640711,-0.108417090028524,
Pos,-264 mV,,-0.0243448,-0.529326591640711,-0.108417090028524,
Coup,,,-0.0242944,-0.529326591640711,-0.128517592325807,
BW,Off,,-0.024244,-0.529326591640711,-0.108417090028524,
Inv,Off,,-0.0241936,-0.502793932333589,-0.0883165877312422,
Imp,1M Ohm,,-0.0241432,-0.502793932333589,-0.06821608543396,
Trace Label,1,,-0.0240928,-0.529326591640711,-0.0280150808393955,
Probe,1,,-0.0240424,-0.449728613719344,-0.0280150808393955,
Skew,0 s,,-0.023992,-0.529326591640711,-0.0481155831366777,
,,,-0.0239416,-0.502793932333589,-0.108417090028524,
Channel 2,,,-0.0238912,-0.582391910254955,-0.0280150808393955,
Scale,500 mV/,,-0.0238408,-0.555859250947833,-0.06821608543396,
Pos,575 mV,,-0.0237904,-0.502793932333589,-0.0481155831366777,
Coup,,,-0.02374,-0.476261273026466,-0.06821608543396,
BW,Off,,-0.0236896,-0.476261273026466,-0.06821608543396,
Inv,Off,,-0.0236392,-0.476261273026466,-0.0481155831366777,
Imp,1M Ohm,,-0.0235888,-0.502793932333589,-0.0079145785421133,
Trace Label,2,,-0.0235384,-0.502793932333589,-0.0481155831366777,
