Address:,USB0::0x0957::0x179B::MY59127615::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0202624,-0.217326659709215,-0.0353265954181552,
,,,-0.020212,-0.162653304636478,-0.123768795281649,
,,,-0.0201616,-0.162653304636478,-0.0674873953685164,
,,,-0.0201112,-0.107979949563742,-0.0755275953561068,
,,,-0.0200608,-0.13531662710011,-0.0514069953933358,
,,,-0.0200104,-0.13531662710011,-0.0755275953561068,
,,,-0.01996,-0.162653304636478,-0.123768795281649,
,,,-0.0199096,-0.0806432720273733,-0.0514069953933358,
,,,-0.0198592,-0.107979949563742,-0.0192461954429746,
,,,-0.0198088,-0.0806432720273733,-0.0594471953809261,
,,,-0.0197584,-0.0533065944910049,-0.123768795281649,
,,,-0.019708,-0.0806432720273733,-0.0996481953188777,
,,,-0.0196576,-0.0533065944910049,-0.0272863954305649,
,,,-0.0196072,-0.0806432720273733,-0.123768795281649,
,,,-0.0195568,-0.0806432720273733,-0.0835677953436971,
,,,-0.0195064,-0.0259699169546366,-0.0514069953933358,
,,,-0.019456,-0.0533065944910049,-0.0594471953809261,
,,,-0.0194056,-0.0806432720273733,-0.123768795281649,
,,,-0.0193552,-0.0259699169546366,-0.0514069953933358,
,,,-0.0193048,-0.0533065944910049,-0.0192461954429746,
,,,-0.0192544,-0.0259699169546366,-0.0192461954429746,
,,,-0.019204,0.0560401156544685,-0.0594471953809261,
,,,-0.0191536,0.0013667605817318,-0.0835677953436971,
,,,-0.0191032,0.0013667605817318,-0.0514069953933358,
,,,-0.0190528,0.0287034381181002,-0.0755275953561068,
,,,-0.0190024,0.0013667605817318,-0.0594471953809261,
,,,-0.018952,0.0013667605817318,-0.0835677953436971,
,,,-0.0189016,0.0287034381181002,-0.0835677953436971,
,,,-0.0188512,0.0560401156544685,-0.0192461954429746,
,,,-0.0188008,0.0013667605817318,0.00487440451979637,
,,,-0.0187504,0.0833767931908369,-0.0996481953188777,
,,,-0.0187,0.0287034381181002,-0.0112059954553843,
,,,-0.0186496,0.0013667605817318,-0.0996481953188777,
,,,-0.0185992,0.0560401156544685,-0.0674873953685164,
,,,-0.0185488,0.0833767931908369,-0.0112059954553843,
,,,-0.0184984,0.0833767931908369,-0.0272863954305649,
,,,-0.018448,0.0560401156544685,-0.00316579546779394,
,,,-0.0183976,0.110713470727205,-0.0433667954057455,
,,,-0.0183472,0.110713470727205,-0.107688395306468,
,,,-0.0182968,0.165386825799942,-0.0594471953809261,
,,,-0.0182464,0.0833767931908369,-0.00316579546779394,
,,,-0.018196,0.110713470727205,0.00487440451979637,
,,,-0.0181456,0.110713470727205,0.0289950044825673,
,,,-0.0180952,0.110713470727205,-0.0112059954553843,
,,,-0.0180448,0.0833767931908369,-0.00316579546779394,
,,,-0.0179944,0.165386825799942,-0.0674873953685164,
,,,-0.017944,0.110713470727205,-0.0674873953685164,
,,,-0.0178936,0.165386825799942,-0.0514069953933358,
,,,-0.0178432,0.165386825799942,0.020954804494977,
,,,-0.0177928,0.165386825799942,-0.0272863954305649,
,,,-0.0177424,0.138050148263574,-0.0755275953561068,
,,,-0.017692,0.165386825799942,0.00487440451979637,
,,,-0.0176416,0.165386825799942,0.00487440451979637,
,,,-0.0175912,0.165386825799942,-0.0112059954553843,
,,,-0.0175408,0.220060180872679,-0.0433667954057455,
,,,-0.0174904,0.220060180872679,0.0289950044825673,
,,,-0.01744,0.19272350333631,-0.00316579546779394,
,,,-0.0173896,0.220060180872679,-0.0353265954181552,
,,,-0.0173392,0.19272350333631,-0.0272863954305649,
,,,-0.0172888,0.19272350333631,-0.0755275953561068,
,,,-0.0172384,0.247396858409047,0.00487440451979637,
,,,-0.017188,0.274733535945416,0.0450754044577479,
,,,-0.0171376,0.247396858409047,0.00487440451979637,
,,,-0.0170872,0.274733535945416,0.020954804494977,
,,,-0.0170368,0.274733535945416,-0.0514069953933358,
,,,-0.0169864,0.274733535945416,0.00487440451979637,
,,,-0.016936,0.274733535945416,-0.0272863954305649,
,,,-0.0168856,0.247396858409047,0.0772362044081092,
,,,-0.0168352,0.247396858409047,-0.00316579546779394,
,,,-0.0167848,0.302070213481784,-0.0112059954553843,
,,,-0.0167344,0.274733535945416,0.0129146045073867,
,,,-0.016684,0.302070213481784,-0.0514069953933358,
,,,-0.0166336,0.274733535945416,-0.0112059954553843,
,,,-0.0165832,0.302070213481784,-0.0594471953809261,
,,,-0.0165328,0.302070213481784,-0.0112059954553843,
,,,-0.0164824,0.329406891018152,-0.0112059954553843,
,,,-0.016432,0.302070213481784,-0.00316579546779394,
,,,-0.0163816,0.302070213481784,-0.0514069953933358,
,,,-0.0163312,0.356743568554521,-0.00316579546779394,
,,,-0.0162808,0.302070213481784,0.0370352044701576,
,,,-0.0162304,0.356743568554521,-0.0192461954429746,
,,,-0.01618,0.329406891018152,0.0450754044577479,
,,,-0.0161296,0.356743568554521,-0.00316579546779394,
,,,-0.0160792,0.356743568554521,0.00487440451979637,
,,,-0.0160288,0.384080246090889,-0.0192461954429746,
,,,-0.0159784,0.384080246090889,0.020954804494977,
,,,-0.015928,0.384080246090889,0.0289950044825673,
,,,-0.0158776,0.356743568554521,0.0450754044577479,
,,,-0.0158272,0.384080246090889,0.0852764043956995,
,,,-0.0157768,0.411416923627257,0.0370352044701576,
,,,-0.0157264,0.438753601163626,-0.0272863954305649,
,,,-0.015676,0.384080246090889,-0.0433667954057455,
,,,-0.0156256,0.411416923627257,0.0611558044329286,
,,,-0.0155752,0.411416923627257,-0.0433667954057455,
,,,-0.0155248,0.411416923627257,-0.0112059954553843,
,,,-0.0154744,0.411416923627257,0.0772362044081092,
,,,-0.015424,0.438753601163626,0.020954804494977,
,,,-0.0153736,0.411416923627257,0.0772362044081092,
,,,-0.0153232,0.438753601163626,0.0933166043832898,
,,,-0.0152728,0.411416923627257,0.0531156044453382,
,,,-0.0152224,0.438753601163626,0.0691960044205189,
,,,-0.015172,0.384080246090889,0.133517604321241,
,,,-0.0151216,0.411416923627257,0.173718604259193,
,,,-0.0150712,0.466090278699994,0.149598004296422,
,,,-0.0150208,0.438753601163626,0.262160804122686,
,,,-0.0149704,0.384080246090889,0.254120604135096,
,,,-0.01492,0.438753601163626,0.270201004110277,
,,,-0.0148696,0.466090278699994,0.302361804060638,
,,,-0.0148192,0.493426956236362,0.422964803874493,
,,,-0.0147688,0.493426956236362,0.422964803874493,
,,,-0.0147184,0.411416923627257,0.471206003800035,
,,,-0.014668,0.438753601163626,0.455125603824854,
,,,-0.0146176,0.411416923627257,0.527487403713167,
,,,-0.0145672,0.466090278699994,0.463165803812444,
,,,-0.0145168,0.438753601163626,0.487286403775215,
,,,-0.0144664,0.438753601163626,0.487286403775215,
,,,-0.014416,0.438753601163626,0.471206003800035,
,,,-0.0143656,0.384080246090889,0.390804003924131,
,,,-0.0143152,0.438753601163626,0.479246203787625,
,,,-0.0142648,0.438753601163626,0.439045203849673,
,,,-0.0142144,0.466090278699994,0.390804003924131,
,,,-0.014164,0.466090278699994,0.326482404023409,
,,,-0.0141136,0.466090278699994,0.318442204035819,
,,,-0.0140632,0.411416923627257,0.310402004048228,
,,,-0.0140128,0.438753601163626,0.278241204097867,
,,,-0.0139624,0.438753601163626,0.205879404209554,
,,,-0.013912,0.411416923627257,0.173718604259193,
,,,-0.0138616,0.438753601163626,0.117437204346061,
,,,-0.0138112,0.438753601163626,0.0611558044329286,
,,,-0.0137608,0.411416923627257,0.0289950044825673,
,,,-0.0137104,0.411416923627257,-0.00316579546779394,
,,,-0.01366,0.438753601163626,-0.00316579546779394,
,,,-0.0136096,0.384080246090889,-0.00316579546779394,
,,,-0.0135592,0.466090278699994,-0.0112059954553843,
,,,-0.0135088,0.384080246090889,-0.0674873953685164,
,,,-0.0134584,0.438753601163626,-0.115728595294058,
,,,-0.013408,0.438753601163626,-0.0674873953685164,
,,,-0.0133576,0.411416923627257,-0.0674873953685164,
,,,-0.0133072,0.438753601163626,-0.0353265954181552,
,,,-0.0132568,0.466090278699994,-0.139849195256829,
,,,-0.0132064,0.438753601163626,-0.123768795281649,
,,,-0.013156,0.411416923627257,-0.0835677953436971,
,,,-0.0131056,0.438753601163626,-0.188090395182371,
,,,-0.0130552,0.438753601163626,-0.1639697952196,
,,,-0.0130048,0.493426956236362,-0.14788939524442,
,,,-0.0129544,0.384080246090889,-0.1639697952196,
,,,-0.012904,0.384080246090889,-0.204170795157552,
,,,-0.0128536,0.438753601163626,-0.0916079953312874,
,,,-0.0128032,0.438753601163626,-0.115728595294058,
,,,-0.0127528,0.356743568554521,-0.123768795281649,
,,,-0.0127024,0.384080246090889,-0.131808995269239,
,,,-0.012652,0.356743568554521,-0.14788939524442,
,,,-0.0126016,0.356743568554521,-0.188090395182371,
,,,-0.0125512,0.384080246090889,-0.212210995145142,
,,,-0.0125008,0.411416923627257,-0.204170795157552,
,,,-0.0124504,0.356743568554521,-0.172009995207191,
,,,-0.0124,0.384080246090889,-0.1639697952196,
,,,-0.0123496,0.356743568554521,-0.204170795157552,
,,,-0.0122992,0.411416923627257,-0.172009995207191,
