Address:,USB0::0x0957::0x179B::MY59127615::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127615,,-0.025,-0.408683402463794,0.0691960044205189,
Firmware Version:,02.50.2019022736,,-0.0249496,-0.436020080000162,0.0852764043956995,
Start Time:,2023-04-17 16:07:10.557,,-0.0248992,-0.436020080000162,0.125477404333651,
,,,-0.0248488,-0.408683402463794,0.10135680437088,
Analog Sample Count:,992,,-0.0247984,-0.436020080000162,0.10135680437088,
Function Sample Count:,0,,-0.024748,-0.408683402463794,0.10135680437088,
Waveform Memory Sample Count:,0,,-0.0246976,-0.408683402463794,0.133517604321241,
Digital Sample Count:,0,,-0.0246472,-0.46335675753653,0.133517604321241,
,,,-0.0245968,-0.490693435072899,0.0450754044577479,
Setup Text Information:,,,-0.0245464,-0.408683402463794,0.10135680437088,
ANALOG,,,-0.024496,-0.490693435072899,0.10939700435847,
Channel 1,,,-0.0244456,-0.46335675753653,0.133517604321241,
Scale,680 mV/,,-0.0243952,-0.46335675753653,0.0531156044453382,
Pos,-272 mV,,-0.0243448,-0.46335675753653,0.0852764043956995,
Coup,,,-0.0242944,-0.381346724927425,0.125477404333651,
BW,Off,,-0.024244,-0.436020080000162,0.0289950044825673,
Inv,Off,,-0.0241936,-0.46335675753653,0.117437204346061,
Imp,1M Ohm,,-0.0241432,-0.408683402463794,0.0531156044453382,
Trace Label,1,,-0.0240928,-0.46335675753653,-0.00316579546779394,
Probe,1,,-0.0240424,-0.46335675753653,0.0129146045073867,
Skew,0 s,,-0.023992,-0.490693435072899,0.0852764043956995,
,,,-0.0239416,-0.436020080000162,0.0772362044081092,
Channel 2,,,-0.0238912,-0.46335675753653,0.0531156044453382,
Scale,200 mV/,,-0.0238408,-0.408683402463794,0.0129146045073867,
Pos,230 mV,,-0.0237904,-0.381346724927425,-0.00316579546779394,
Coup,,,-0.02374,-0.46335675753653,0.00487440451979637,
BW,Off,,-0.0236896,-0.436020080000162,0.020954804494977,
Inv,Off,,-0.0236392,-0.46335675753653,0.0289950044825673,
